batsman,out,numberofballs,total_runs,average,strikerate,batting_type
CA Ingram,2,26,21,10.5,80.76923077,1
DE Bollinger,1,22,21,21,95.45454545,0
RR Raje,1,18,20,20,111.1111111,0
M Muralitharan,6,29,20,3.333333333,68.96551724,1
K Paul,4,24,20,5,83.33333333,0
AC Thomas,2,19,20,10,105.2631579,0
H Brar,0,12,20,20,166.6666667,0
Imran Tahir,4,27,20,4,74.07407407,0
NJ Maddinson,3,21,20,6.666666667,95.23809524,1
Harpreet Singh,2,26,20,10,76.92307692,0
R Shukla,2,23,19,9.5,82.60869565,0
DR Martyn,2,24,19,9.5,79.16666667,0
R Bishnoi,3,17,19,6.333333333,111.7647059,1
P Sahu,0,13,19,19,146.1538462,0
A Mukund,2,22,19,9.5,86.36363636,0
Y Gnaneswara Rao,1,17,19,19,111.7647059,0
P R Barman,1,24,19,19,79.16666667,0
Vishnu Vinod,3,26,19,6.333333333,73.07692308,1
JJ van der Wath,2,16,18,9,112.5,1
Harmeet Singh,2,12,18,9,150,0
BJ Haddin,1,11,18,18,163.6363636,0
PV Tambe,1,39,18,18,46.15384615,0
DS Lehmann,2,18,18,9,100,1
Parvez Rasool,2,20,17,8.5,85,1
AS Rajpoot,3,30,17,5.666666667,56.66666667,1
PP Ojha,10,44,16,1.6,36.36363636,0
CK Kapugedera,3,23,16,5.333333333,69.56521739,1
S Singh,1,17,16,16,94.11764706,0
SA Abbott,1,13,15,15,115.3846154,1
C Madan,1,19,15,15,78.94736842,0
GR Napier,1,16,15,15,93.75,0
VY Mahesh,2,26,15,7.5,57.69230769,1
RD Chahar,2,13,15,7.5,115.3846154,1
A Joseph,0,13,15,15,115.3846154,0
SD Lad,1,13,15,15,115.3846154,0
F Behardien,2,13,14,7,107.6923077,1
MDKJ Perera,2,13,14,7,107.6923077,0
S Badree,5,23,13,2.6,56.52173913,1
S Mavi,3,15,13,4.333333333,86.66666667,1
DT Patil,1,13,13,13,100,0
KJ Abbott,1,8,13,13,162.5,0
D Shorey,2,17,13,6.5,76.47058824,1
Swapnil Singh,3,20,12,4,60,0
T Thushara,2,18,12,6,66.66666667,0
TA Boult,2,14,12,6,85.71428571,0
DAJ Bracewell,0,9,12,12,133.3333333,1
M Ur Rahman,2,11,12,6,109.0909091,1
AR Bawne,0,12,12,12,100,0
AA Chavan,1,11,12,12,109.0909091,0
Karanveer Singh,1,17,12,12,70.58823529,1
K Upadhyay,0,9,12,12,133.3333333,1
S Kaul,3,28,12,4,42.85714286,1
M Ntini,1,18,11,11,61.11111111,1
BB Sran,1,14,11,11,78.57142857,1
T Henderson,1,16,11,11,68.75,1
T Kohli,3,19,11,3.666666667,57.89473684,0
DNT Zoysa,1,9,11,11,122.2222222,1
X Thalaivan Sargunam,1,17,10,10,58.82352941,0
J Theron,2,12,10,5,83.33333333,1
AG Murtaza,1,14,10,10,71.42857143,1
TD Paine,2,26,10,5,38.46153846,0
KAJ Roach,1,9,10,10,111.1111111,1
SMSM Senanayake,1,17,10,10,58.82352941,0
D du Preez,1,13,10,10,76.92307692,0
AA Noffke,1,10,9,9,90,1
SM Harwood,0,13,9,9,69.23076923,1
Jaskaran Singh,2,11,8,4,72.72727273,1
CJ McKay,1,15,8,8,53.33333333,0
J Searles,1,6,8,8,133.3333333,0
TS Mills,3,11,8,2.666666667,72.72727273,0
P Chopra,1,6,8,8,133.3333333,0
TM Srivastava,1,11,8,8,72.72727273,1
CK Langeveldt,2,9,8,4,88.88888889,0
UA Birla,1,14,7,7,50,1
VS Malik,1,7,7,7,100,1
Pankaj Singh,2,12,7,3.5,58.33333333,1
AF Milne,3,12,7,2.333333333,58.33333333,0
N Naik,1,16,7,7,43.75,1
AN Ghosh,2,8,7,3.5,87.5,1
Ankit Soni,2,8,7,3.5,87.5,0
I Malhotra,0,4,7,7,175,0
R Bhui,2,17,7,3.5,41.17647059,0
I Sodhi,2,17,7,3.5,41.17647059,1
DM Bravo,0,5,6,6,120,1
SS Shaikh,0,7,6,6,85.71428571,1
SB Joshi,2,14,6,3,42.85714286,0
J Yadav,0,10,6,6,60,1
BA Bhatt,0,7,6,6,85.71428571,0
S Sharma,0,3,6,6,200,1
PSP Handscomb,1,12,6,6,50,1
B Stanlake,0,2,5,5,250,0
A Zampa,2,8,5,2.5,62.5,0
R Salam,0,4,5,5,125,0
Shivam Sharma,1,3,5,5,166.6666667,1
SJ Srivastava,1,5,5,5,100,1
P Awana,3,14,5,1.666666667,35.71428571,0
KMDN Kulasekara,0,2,5,5,250,0
B Laughlin,2,13,5,2.5,38.46153846,0
DP Nannes,1,13,4,4,30.76923077,1
A Uniyal,1,7,4,4,57.14285714,0
FH Edwards,1,5,4,4,80,0
A Chandila,1,7,4,4,57.14285714,1
A Dananjaya,0,5,4,4,80,0
CRD Fernando,1,3,4,4,133.3333333,0
GD McGrath,1,5,4,4,80,0
M Ashwin,3,8,4,1.333333333,50,0
H Vihari,2,8,4,2,50,1
Avesh Khan,0,3,4,4,133.3333333,0
RS Sodhi,0,2,4,4,200,1
VRV Singh,1,2,4,4,200,0
CJ Jordan,1,5,3,3,60,0
S Tyagi,0,4,3,3,75,1
A Turner,3,10,3,1,30,1
R Ninan,1,6,3,3,50,1
D Kalyankrishna,1,7,3,3,42.85714286,0
JE Taylor,0,3,3,3,100,1
H Viljoen,2,5,3,1.5,60,1
BAW Mendis,2,6,3,1.5,50,0
Mohammad Asif,2,6,3,1.5,50,1
Kamran Khan,1,5,3,3,60,1
Younis Khan,1,7,3,3,42.85714286,1
KP Appanna,1,3,2,2,66.66666667,1
RS Gavaskar,1,8,2,2,25,1
SB Wagh,2,3,2,1,66.66666667,1
Mohammad Ashraful,1,10,2,2,20,1
Mashrafe Mortaza,0,2,2,2,100,1
S Randiv,1,4,2,2,50,0
Shoaib Akhtar,1,7,2,2,28.57142857,1
RG More,0,2,2,2,100,0
A Singh,4,10,2,0.5,20,1
VS Yeligati,1,2,2,2,100,0
H Das,1,5,2,2,40,0
SE Bond,1,2,1,1,50,1
PM Sarvesh Kumar,0,2,1,1,50,0
Shoaib Ahmed,2,6,1,0.5,16.66666667,0
Mustafizur Rahman,1,3,1,1,33.33333333,1
LH Ferguson,0,1,1,1,100,1
H Gurney,0,5,1,1,20,0
L Plunkett,1,3,1,1,33.33333333,0
BE Hendricks,1,3,1,1,33.33333333,0
P Parameswaran,0,2,1,1,50,1
DP Vijaykumar,0,1,1,1,100,1
DJ Muthuswami,1,3,1,1,33.33333333,1
M Wood,1,3,1,1,33.33333333,1
NJ Rimmington,0,1,1,1,100,1
P Krishna,1,7,1,1,14.28571429,0
M de Lange,1,2,1,1,50,1
K Ahmed,1,1,0,0,0,0
C Nanda,1,1,0,0,0,0
YA Abdulla,0,1,0,0,0,1
U Kaul,0,1,0,0,0,0
P Raj,0,1,0,0,0,0
S Lamichhane,1,1,0,0,0,1
RR Bhatkal,2,2,0,0,0,0
IC Pandey,1,2,0,0,0,0
L Ablish,0,2,0,0,0,0
Abdur Razzak,0,2,0,0,0,0
Sunny Gupta,1,1,0,0,0,0
ND Doshi,1,13,0,0,0,0
J Denly,1,1,0,0,0,1
S Ladda,2,9,0,0,0,1
V Pratap Singh,1,1,0,0,0,0
S Kaushik,1,1,0,0,0,0
